Implantation;N° grilles horaire;Grille-horaire;Année d'étude;Total élèves SIEL;Total élèves admissibles SIEL;Total élèves non admissibles SIEL;Total élèves primo SIEL;Total garçons SIEL;Total filles SIEL;Total élèves issus différencié SIEL;Total élèves exemptés LM SIEL;Total élèves exemptés Philo SIEL;Total des élèves comptant pour les Périodes Prof SIEL;Total des élèves comptant pour les périodes ACC SIEL;Total élèves admissibles GOSS;Total élèves issus différencié GOSS;Total élèves exemptés LM GOSS;Total élèves exemptés Philo GOSS;Total des élèves comptant pour les Périodes Prof GOSS;Total des élèves comptant pour les périodes ACC GOSS
2616;;;1 D1 1C;53;53;0;0;35;18;0;0;0;0;0;53;0;0;0;0;0
2616;463826;12511C 1209 (463826);1 D1 1C;26;26;0;0;16;10;0;0;0;0;0;26;0;0;0;0;0
2616;463842;12511C 1233 (463842);1 D1 1C;15;15;0;0;9;6;0;0;0;0;0;15;0;0;0;0;0
2616;463843;12511C 1234 (463843);1 D1 1C;10;10;0;0;8;2;0;0;0;0;0;10;0;0;0;0;0
2616;463844;12511C 1235 (463844);1 D1 1C;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
2616;;;1 D1 2C;61;61;0;0;34;27;0;0;0;0;0;61;0;0;0;0;0
2616;463768;12512C 1136 (463768);1 D1 2C;17;17;0;0;6;11;0;0;0;0;0;17;0;0;0;0;0
2616;463821;12512C 1203 (463821);1 D1 2C;35;35;0;0;23;12;0;0;0;0;0;35;0;0;0;0;0
2616;463823;12512C 1206 (463823);1 D1 2C;8;8;0;0;5;3;0;0;0;0;0;8;0;0;0;0;0
2616;463824;12512C 1207 (463824);1 D1 2C;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2616;;;1 D1 2S;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2616;463849;12512S 1249 (463849);1 D1 2S;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2616;;;1 D2 3 G;10;10;0;0;5;5;0;0;0;0;0;10;0;0;0;0;0
2616;463760;12513 GT1125 (463760);1 D2 3 G;3;3;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0
2616;463762;12513 GT1127 (463762);1 D2 3 G;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
2616;463772;12513 GT1140 (463772);1 D2 3 G;5;5;0;0;3;2;0;0;0;0;0;5;0;0;0;0;0
2616;;;1 D2 3 TQ;16;16;0;0;4;12;0;0;0;0;0;16;0;0;0;0;0
2616;463766;12513 TQ1132 (463766);1 D2 3 TQ;16;16;0;0;4;12;0;0;0;0;0;16;0;0;0;0;0
2616;;;1 D2 3 TT;7;7;0;0;3;4;0;0;0;0;0;7;0;0;0;0;0
2616;463835;12513 TT1221 (463835);1 D2 3 TT;7;7;0;0;3;4;0;0;0;0;0;7;0;0;0;0;0
2616;;;1 D2 4 G;8;8;0;0;2;6;0;0;0;0;0;8;0;0;0;0;0
2616;463764;12514 GT1129 (463764);1 D2 4 G;3;3;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
2616;463779;12514 GT1147 (463779);1 D2 4 G;3;3;0;0;2;1;0;0;0;0;0;3;0;0;0;0;0
2616;463780;12514 GT1148 (463780);1 D2 4 G;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
2616;;;1 D2 4 TT;8;8;0;0;5;3;0;0;0;0;0;8;0;0;0;0;0
2616;463827;12514 TT1210 (463827);1 D2 4 TT;4;4;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0
